product,product_type,lot_id,production_date,remaining_qty
갤럭시Z폴드8,Phone,LOT-갤럭시-0002,2026-09-04,372000
갤럭시Z폴드8,Phone,LOT-갤럭시-0003,2026-08-10,373800
갤럭시Z폴드8,Phone,LOT-갤럭시-0004,2026-09-01,372100
갤럭시Z폴드8,Phone,LOT-갤럭시-0005,2026-08-28,373700
갤럭시Z폴드8,Phone,LOT-갤럭시-0006,2026-09-09,373600
갤럭시Z폴드8,Phone,LOT-갤럭시-0007,2026-09-14,372900
갤럭시Z폴드8,Phone,LOT-갤럭시-0008,2026-08-13,373100
갤럭시Z폴드8,Phone,LOT-갤럭시-0009,2026-08-24,372000
갤럭시S26,Phone,LOT-갤럭시-0000,2026-06-07,736800
갤럭시S26,Phone,LOT-갤럭시-0001,2026-09-16,440800
갤럭시S26,Phone,LOT-갤럭시-0002,2026-08-16,439800
갤럭시S26,Phone,LOT-갤럭시-0003,2026-08-20,440600
갤럭시S26,Phone,LOT-갤럭시-0004,2026-08-18,439900
갤럭시S26,Phone,LOT-갤럭시-0005,2026-08-20,440000
갤럭시S26,Phone,LOT-갤럭시-0006,2026-08-14,441500
갤럭시S26,Phone,LOT-갤럭시-0007,2026-08-30,441400
갤럭시S26,Phone,LOT-갤럭시-0008,2026-08-13,441000
갤럭시S26,Phone,LOT-갤럭시-0009,2026-08-18,440800
갤럭시S26,Phone,LOT-갤럭시-0010,2026-08-10,440300
갤럭시S26,Phone,LOT-갤럭시-0011,2026-08-27,440200
갤럭시Z플립8,Phone,LOT-갤럭시-0000,2026-07-01,300600
갤럭시Z플립8,Phone,LOT-갤럭시-0001,2026-09-01,638700
갤럭시Z플립8,Phone,LOT-갤럭시-0002,2026-08-11,639200
갤럭시Z플립8,Phone,LOT-갤럭시-0003,2026-08-23,638300
갤럭시Z플립8,Phone,LOT-갤럭시-0004,2026-09-15,638800
갤럭시Z플립8,Phone,LOT-갤럭시-0005,2026-08-27,637800
갤럭시Z플립8,Phone,LOT-갤럭시-0006,2026-08-16,637900
갤럭시Z플립8,Phone,LOT-갤럭시-0007,2026-08-25,638100
아이패드 프로,Tablet,LOT-아이패-0000,2026-07-01,242600
아이패드 프로,Tablet,LOT-아이패-0001,2026-08-30,254100
아이패드 프로,Tablet,LOT-아이패-0002,2026-09-16,254000
아이패드 프로,Tablet,LOT-아이패-0003,2026-09-04,252600
아이패드 프로,Tablet,LOT-아이패-0004,2026-09-01,253700
아이패드 프로,Tablet,LOT-아이패-0005,2026-08-16,254100
아이패드 프로,Tablet,LOT-아이패-0006,2026-09-01,253900
아이패드 프로,Tablet,LOT-아이패-0007,2026-08-16,253800
아이패드 프로,Tablet,LOT-아이패-0008,2026-09-15,252600
아이패드 프로,Tablet,LOT-아이패-0009,2026-08-29,253100
아이패드 에어,Tablet,LOT-아이패-0000,2026-06-04,44600
아이패드 에어,Tablet,LOT-아이패-0001,2026-08-28,220400
아이패드 에어,Tablet,LOT-아이패-0002,2026-08-24,220100
아이패드 에어,Tablet,LOT-아이패-0003,2026-08-12,220200
아이패드 에어,Tablet,LOT-아이패-0004,2026-08-25,219900
아이패드 에어,Tablet,LOT-아이패-0005,2026-08-12,219600
아이패드 에어,Tablet,LOT-아이패-0006,2026-08-25,220000
아이패드 에어,Tablet,LOT-아이패-0007,2026-08-30,219500
아이패드 에어,Tablet,LOT-아이패-0008,2026-08-31,219300
아이패드 에어,Tablet,LOT-아이패-0009,2026-09-09,219200
아이패드 에어,Tablet,LOT-아이패-0010,2026-08-27,218900
갤럭시탭 S10,Tablet,LOT-갤럭시-0000,2026-05-31,297100
갤럭시탭 S10,Tablet,LOT-갤럭시-0001,2026-09-04,152800
갤럭시탭 S10,Tablet,LOT-갤럭시-0002,2026-08-17,153000
갤럭시탭 S10,Tablet,LOT-갤럭시-0003,2026-08-10,153800
갤럭시탭 S10,Tablet,LOT-갤럭시-0004,2026-08-09,153100
갤럭시탭 S10,Tablet,LOT-갤럭시-0005,2026-09-10,152800
갤럭시탭 S10,Tablet,LOT-갤럭시-0006,2026-08-29,152900
갤럭시탭 S10,Tablet,LOT-갤럭시-0007,2026-08-24,152700
갤럭시탭 S10,Tablet,LOT-갤럭시-0008,2026-08-28,152200
갤럭시탭 S10,Tablet,LOT-갤럭시-0009,2026-08-13,152600
갤럭시탭 S10,Tablet,LOT-갤럭시-0010,2026-08-30,152300
갤럭시탭 S10,Tablet,LOT-갤럭시-0011,2026-09-13,153900
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0000,2026-06-04,14600
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0001,2026-08-16,29600
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0002,2026-09-16,31100
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0003,2026-08-29,30800
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0004,2026-08-17,30700
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0005,2026-08-26,29800
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0006,2026-09-13,30100
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0007,2026-08-17,29600
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0008,2026-09-12,30500
테슬라 모델Y 센터디스플레이,Automotive,LOT-테슬라-0009,2026-08-16,29500
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0000,2026-06-08,4200
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0001,2026-09-13,15900
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0002,2026-09-07,17300
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0003,2026-08-28,15700
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0004,2026-09-01,15800
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0005,2026-08-12,16800
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0006,2026-08-09,17400
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0007,2026-08-08,16200
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0008,2026-08-14,16700
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0009,2026-08-19,16900
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0010,2026-08-28,17300
현대 아이오닉9 클러스터디스플레이,Automotive,LOT-현대 -0011,2026-08-20,16400
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0000,2026-06-09,2300
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0001,2026-08-08,11900
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0002,2026-09-03,13600
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0003,2026-09-03,12400
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0004,2026-09-11,12100
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0005,2026-09-01,12100
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0006,2026-08-12,11800
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0007,2026-09-06,11600
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0008,2026-08-21,13000
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0009,2026-08-09,13100
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0010,2026-08-29,11700
BMW iX 인포테인먼트디스플레이,Automotive,LOT-BMW-0011,2026-09-02,12500
애플워치 시리즈11,Watch,LOT-애플워-0000,2026-06-04,24800
애플워치 시리즈11,Watch,LOT-애플워-0001,2026-09-12,133800
애플워치 시리즈11,Watch,LOT-애플워-0002,2026-08-31,135100
애플워치 시리즈11,Watch,LOT-애플워-0003,2026-08-10,133700
애플워치 시리즈11,Watch,LOT-애플워-0004,2026-08-20,133400
애플워치 시리즈11,Watch,LOT-애플워-0005,2026-08-13,133800
애플워치 시리즈11,Watch,LOT-애플워-0006,2026-09-07,133900
애플워치 시리즈11,Watch,LOT-애플워-0007,2026-09-07,133300
애플워치 시리즈11,Watch,LOT-애플워-0008,2026-09-13,133600
애플워치 시리즈11,Watch,LOT-애플워-0009,2026-08-28,135000
갤럭시워치8,Watch,LOT-갤럭시-0000,2026-05-21,86400
갤럭시워치8,Watch,LOT-갤럭시-0001,2026-08-19,105400
갤럭시워치8,Watch,LOT-갤럭시-0002,2026-08-18,106000
갤럭시워치8,Watch,LOT-갤럭시-0003,2026-08-22,105900
갤럭시워치8,Watch,LOT-갤럭시-0004,2026-08-15,106800
갤럭시워치8,Watch,LOT-갤럭시-0005,2026-08-16,106500
갤럭시워치8,Watch,LOT-갤럭시-0006,2026-09-11,107000
갤럭시워치8,Watch,LOT-갤럭시-0007,2026-09-14,106400
갤럭시워치8,Watch,LOT-갤럭시-0008,2026-08-27,107000
갤럭시워치8,Watch,LOT-갤럭시-0009,2026-08-31,105100
갤럭시워치8,Watch,LOT-갤럭시-0010,2026-09-11,105800
갤럭시워치8,Watch,LOT-갤럭시-0011,2026-08-11,106900
갤럭시워치 울트라,Watch,LOT-갤럭시-0000,2026-05-31,20100
갤럭시워치 울트라,Watch,LOT-갤럭시-0001,2026-08-30,138300
갤럭시워치 울트라,Watch,LOT-갤럭시-0002,2026-09-14,137000
갤럭시워치 울트라,Watch,LOT-갤럭시-0003,2026-08-17,138100
갤럭시워치 울트라,Watch,LOT-갤럭시-0004,2026-08-19,137300
갤럭시워치 울트라,Watch,LOT-갤럭시-0005,2026-09-05,138300
갤럭시워치 울트라,Watch,LOT-갤럭시-0006,2026-08-20,138500
갤럭시워치 울트라,Watch,LOT-갤럭시-0007,2026-08-16,136700
